"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-05T03:28:39.658+02:00[Europe/Paris]","0.0","3.34"
"Categories CRUD test","Verify if the Category was added to the application","SUCCESS","2022-06-05T03:28:43.023+02:00[Europe/Paris]","0.0","0.04"
"Categories CRUD test","Update the Category information","SUCCESS","2022-06-05T03:28:43.072+02:00[Europe/Paris]","0.0","0.06"
"Products CRUD test","This will create a New product","SUCCESS","2022-06-05T03:28:44.377+02:00[Europe/Paris]","0.0","0.07"
"Products CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-05T03:28:44.451+02:00[Europe/Paris]","0.0","0.02"
"Products CRUD test","Update the product information","SUCCESS","2022-06-05T03:28:44.479+02:00[Europe/Paris]","0.0","0.05"
"Products CRUD test","Delete the product by ID","SUCCESS","2022-06-05T03:28:44.532+02:00[Europe/Paris]","0.0","0.04"
"Services CRUD test","This will create a New Service","SUCCESS","2022-06-05T03:28:44.633+02:00[Europe/Paris]","0.0","0.05"
"Services CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-05T03:28:44.687+02:00[Europe/Paris]","0.0","0.02"
"Services CRUD test","Update the product information","SUCCESS","2022-06-05T03:28:44.706+02:00[Europe/Paris]","0.0","0.05"
"Services CRUD test","Delete the product by ID","SUCCESS","2022-06-05T03:28:44.756+02:00[Europe/Paris]","0.0","0.05"
"Stores CRUD test","This will create a New Store","SUCCESS","2022-06-05T03:28:44.834+02:00[Europe/Paris]","0.0","0.05"
"Stores CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-05T03:28:44.889+02:00[Europe/Paris]","0.0","0.02"
"Stores CRUD test","Update the product information","SUCCESS","2022-06-05T03:28:44.910+02:00[Europe/Paris]","0.0","0.04"
"Stores CRUD test","Delete the product by ID","SUCCESS","2022-06-05T03:28:44.954+02:00[Europe/Paris]","0.0","0.03"
"Utilities CRUD test","Get the version of Application","SUCCESS","2022-06-05T03:28:45.023+02:00[Europe/Paris]","0.0","0.02"
"Utilities CRUD test","Get the Health check of Application","SUCCESS","2022-06-05T03:28:45.044+02:00[Europe/Paris]","0.0","0.05"
